Title,Description,Priority,Labels,Project,Estimate,Due Date
"Schema finalization and validation","Finalize `events`, `venues`, `users`, `checkins` schemas with JSON Schema validation. Subtasks: Events collection enforces required fields and GeoJSON structure, Coordinate bounds validated, `DATABASE_DESIGN.md` matches implemented schema",1,"database, schema","MongoDB Events Demo","4h",""
"Index suite implementation in app/database.py","Ensure all indexes exist: 2dsphere, text, start_date, category+start_date, location+start_date, organizer+start_date, created_at, tags. Subtasks: `list_indexes` shows all specified indexes, Index build idempotent at startup",1,"indexing, performance","MongoDB Events Demo","3h",""
"CRUD services parity and unit tests","Verify create/get/update/delete paths and add unit tests. Subtasks: Tests cover happy-path and invalid ObjectId, Update respects partial updates and timestamps",1,"backend, testing","MongoDB Events Demo","4h",""
"Text search endpoint and scoring","Support `$text` search with `$meta: \"textScore\"` sorting and projection. Subtasks: `/api/events?q=...` returns results sorted by relevance, Includes `score` in response for debugging",2,"search, backend","MongoDB Events Demo","3h",""
"Cursor-based pagination for events list","Implement `_id` cursor pagination in service and API responses. Subtasks: Response contains `next_cursor`, `has_more`, Works with category and search filters",1,"performance, backend","MongoDB Events Demo","3h",""
"Weekend window calculation util","Utility to compute Friday 6pm → Sunday 11:59pm in UTC. Subtasks: Covered by unit tests for boundary conditions",3,"utils, backend","MongoDB Events Demo","2h",""
"Nearby events GeoJSON API","`$geoNear` aggregation with radius and limit returning GeoJSON FeatureCollection. Subtasks: `/api/events/nearby` returns valid GeoJSON, Distance in meters rounded to 2 decimals",1,"geo, api","MongoDB Events Demo","3h",""
"Weekend near-me discovery API","Combine `$geoNear` with weekend date-range filter. Subtasks: `/api/events/weekend` responds within target latency on 10k docs",2,"geo, api","MongoDB Events Demo","3h",""
"Category filter + geo + date compound query","Add optional `category` to geospatial/date queries; verify compound index usage. Subtasks: Explain shows index usage without collection scan",2,"geo, search","MongoDB Events Demo","3h",""
"Map-ready sample page","Simple page integrating map placeholder and fetch from nearby API. Subtasks: Visual markers for events (can be mocked initially)",3,"frontend, ux","MongoDB Events Demo","3h",""
"Peak times aggregation","`$group` by hour and dayOfWeek with counts. Subtasks: `/api/analytics` returns top 10 peak buckets",2,"analytics","MongoDB Events Demo","3h",""
"Category popularity aggregation","Counts per category; include average `max_attendees`. Subtasks: Sorted by count desc; includes `avg_attendees`",2,"analytics","MongoDB Events Demo","2h",""
"Monthly trends aggregation","Group by year/month and sort ascending. Subtasks: `/api/analytics` returns monthly series suitable for charting",3,"analytics","MongoDB Events Demo","2h",""
"Analytics performance budget","Validate analytics latency on 10k docs; document explain stats. Subtasks: Each aggregation < 200ms on seeded dataset, Notes recorded in `docs/course-report.md`",3,"performance, analytics","MongoDB Events Demo","2h",""
"Socket.IO server plumbing","Initialize SocketIO, events and analytics namespaces. Subtasks: Server boots; client can connect and receive a welcome ping",1,"realtime, backend","MongoDB Events Demo","3h",""
"MongoDB change streams listener","Watch `events` collection; handle insert/update/delete. Subtasks: Broadcasts `event_created`, `event_updated`, `event_deleted`",1,"realtime, database","MongoDB Events Demo","4h",""
"Location/category rooms","Allow joining rooms keyed by location window or category; prepare for scoped broadcasts. Subtasks: Join/leave acknowledge events; room naming stable",2,"realtime","MongoDB Events Demo","3h",""
"Real-time demo page","`/realtime` page shows feed of new/updated/deleted events and analytics pings. Subtasks: Manual test: creating an event triggers client update",3,"frontend, realtime","MongoDB Events Demo","3h",""
"10k events generator","Generate realistic events across US cities; JSON export. Subtasks: `test_events.json` generated; passes JSON validation",1,"data, tooling","MongoDB Events Demo","3h",""
"Import + seed script docs","Instructions for `mongoimport` and environment. Subtasks: README section with exact commands",2,"docs, tooling","MongoDB Events Demo","1h",""
"Performance harness","`test_performance.py` measures inserts, queries, aggregations, pagination. Subtasks: Console summary and per-test timings; explain snapshots saved to disk",2,"testing, performance","MongoDB Events Demo","4h",""
"Baseline performance report","Capture baseline metrics and include in `docs/course-report.md`. Subtasks: Table of p50/p95 latencies per workload",2,"docs, performance","MongoDB Events Demo","3h",""
"Booking flow design","Specify multi-document transaction steps for ticket booking. Subtasks: Sequence diagram + pseudo code; failure modes listed",2,"design, transactions","MongoDB Events Demo","3h",""
"Booking API (transactional)","Implement transaction: check capacity → decrement → create check-in. Subtasks: Rollback on error; idempotent retry strategy noted",2,"backend, transactions","MongoDB Events Demo","6h",""
"Contention tests on seat inventory","Simulate concurrent bookings; measure conflicts and throughput. Subtasks: Results table and discussion in course report",3,"testing, performance","MongoDB Events Demo","4h",""
"Input validation & error handling audit","Consistent error messages; Pydantic validations enforced on all APIs. Subtasks: 4xx vs 5xx semantics correct; helpful error payloads",2,"quality, security","MongoDB Events Demo","3h",""
"Linting and formatting CI (local/script)","Ensure ruff/black run clean; pre-commit or script documented. Subtasks: Zero warnings; command documented in README",3,"devx","MongoDB Events Demo","2h",""
"Configuration hardening","`.env` handling, required vars, non-default secrets for production profile. Subtasks: App fails fast when critical env vars missing in prod mode",3,"security, ops","MongoDB Events Demo","2h",""
"API documentation snapshot","Document available endpoints, params, sample responses. Subtasks: `docs/api.md` created with examples and curl snippets",3,"docs, api","MongoDB Events Demo","2h",""
"Final write-up and presentation assets","Summarize outcomes: benchmarks, design decisions, trade-offs; slides or outline. Subtasks: `docs/course-report.md` updated; final metrics and reflections included",2,"docs","MongoDB Events Demo","4h",""
